iter	Logloss	F1	Recall	Accuracy
0	0.6308397378	0.568586233	0.5265090071	0.9082211073
1	0.5770268961	0.5505784082	0.4546913686	0.9147310693
2	0.5264966698	0.5702176807	0.4973789806	0.9138739276
3	0.4858536338	0.5735030424	0.4997011867	0.9146251525
4	0.4528606899	0.572112412	0.4897805857	0.915843196
5	0.4243373949	0.5718216621	0.4896781354	0.9157608163
6	0.3961040857	0.570846546	0.4856654999	0.9161177952
7	0.3734807777	0.5692755851	0.4805088363	0.9164747741
8	0.3559502423	0.5689593818	0.4777597541	0.916845483
9	0.3409180381	0.5689232779	0.4758302741	0.9171691178
10	0.327296336	0.5649628532	0.4654998719	0.9176496664
11	0.3151495862	0.5630984916	0.4608725348	0.9178477701
12	0.3052649708	0.5588764473	0.4508324084	0.9182479003
13	0.2959852417	0.5607257272	0.4527789635	0.9185087695
14	0.2860143911	0.5615125944	0.45334244	0.9186676448
15	0.2799106173	0.5578049796	0.4462392214	0.9187284489
16	0.2734062675	0.5609919785	0.4496030052	0.9191678076
17	0.2667418681	0.5631351018	0.4518398361	0.9194698667
18	0.2604883804	0.5635088168	0.4512592846	0.9196954303
19	0.2556820151	0.5649290512	0.4530863144	0.9198346913
20	0.2500571964	0.5645412131	0.4524716127	0.9198170385
21	0.2463108826	0.5668073884	0.4550670196	0.9200975219
22	0.2424411157	0.5685145443	0.4568598993	0.9203387769
23	0.2386233113	0.5696732637	0.4575770511	0.920589839
24	0.2359630412	0.5696629453	0.4556817212	0.9209154352
25	0.2325758523	0.5709491236	0.4560573722	0.9212645685
26	0.2303159284	0.5724410376	0.4565013233	0.9216666601
27	0.2282349827	0.5730641177	0.4555451208	0.9220295233
28	0.2251251782	0.5744952886	0.4565013233	0.9223217753
29	0.2226616727	0.5753404047	0.4570647998	0.9224943805
30	0.2206241954	0.5754872314	0.4565525485	0.9226277573
31	0.2196003857	0.5745667983	0.4546401434	0.9226611015
32	0.2180925093	0.5754042792	0.4550670196	0.9228533209
33	0.2168302335	0.5754537597	0.4547425937	0.9229239321
34	0.2148673056	0.5770115687	0.4560573722	0.923192647
35	0.2138776174	0.5770012981	0.4553743704	0.9233044481
36	0.2126931983	0.579126979	0.4578331768	0.9235594331
37	0.2115197525	0.5802465135	0.4585844788	0.9237849967
38	0.2098631345	0.5810815191	0.4591650303	0.9239497562
39	0.2088758309	0.5814523355	0.4598651071	0.9239497562
40	0.2081736963	0.5819655303	0.459813882	0.9241184386
41	0.2072903192	0.5831848757	0.4611457355	0.9242792752
42	0.2064243752	0.584954255	0.4634337915	0.9244558033
43	0.2054547947	0.5866560455	0.4652778964	0.9246852897
44	0.2042062392	0.5874037096	0.4661316486	0.924779438
45	0.2034724513	0.5882745339	0.4667975753	0.9249422361
46	0.2028469845	0.5889994086	0.4676342525	0.9250324615
47	0.2018012353	0.5900099922	0.4688295057	0.9251540698
48	0.2012662529	0.5900532287	0.4684709297	0.925224681
49	0.200272633	0.5909462014	0.4696491078	0.925312945
50	0.199712642	0.5915783369	0.4702979595	0.9254051319
51	0.1992367293	0.5923293319	0.4709809613	0.9255287015
52	0.1986517252	0.5938645572	0.4730128917	0.9256816925
53	0.1981760285	0.5944954915	0.4733885426	0.9258170306
54	0.1978364837	0.5951960249	0.4745154956	0.9258562591
55	0.1970879472	0.596262002	0.4761034748	0.9259366774
56	0.1965680296	0.597952233	0.4781524802	0.926138704
57	0.1961378988	0.5981725411	0.4784256809	0.9261642025
58	0.1952834937	0.5990866995	0.4793818834	0.9262975792
59	0.194898265	0.6000149189	0.4807137369	0.9263779975
60	0.194593928	0.6003026234	0.4809698625	0.9264270331
61	0.1940827627	0.6017267627	0.4825578417	0.926621214
62	0.1933856064	0.6025960209	0.4835481943	0.9267369379
63	0.1930351601	0.6028939249	0.4837872449	0.9267918577
64	0.1927724918	0.6040125818	0.4852727738	0.9269095431
65	0.1921540166	0.6046531384	0.4861436011	0.9269742701
66	0.1918526933	0.605933327	0.4877315803	0.927127261
67	0.191498003	0.6066420038	0.4886024076	0.9272135636
68	0.1909910787	0.6073997182	0.4895756851	0.9272998662
69	0.190712895	0.6092098721	0.4916588406	0.9275430827
70	0.1901711898	0.6097573868	0.4924442927	0.9275940796
71	0.1897786197	0.6102865835	0.4932468198	0.9276372309
72	0.189486962	0.6110119833	0.494083497	0.9277353021
73	0.1891857229	0.6120822351	0.4956544011	0.9278314118
74	0.1886792105	0.6124797168	0.4962691027	0.9278627946
75	0.1883080028	0.6133249132	0.4974985059	0.9279412515
76	0.1879429197	0.6142456015	0.498659609	0.9280530526
77	0.1876369104	0.6149869172	0.4996499616	0.9281354323
78	0.187438739	0.6159079456	0.5008452147	0.9282433106
79	0.1871255489	0.6170000734	0.5021599932	0.9283864944
80	0.1867813916	0.6173859265	0.502842995	0.9284061087
81	0.1865359019	0.6179882426	0.5034918467	0.9284963341
82	0.1861703148	0.618528211	0.5044651242	0.9285218326
