iter	Passed	Remaining
0	264	131960
1	372	92703
2	476	78915
3	569	70606
4	660	65401
5	744	61319
6	842	59335
7	933	57419
8	1017	55485
9	1096	53711
10	1182	52548
11	1264	51411
12	1354	50732
13	1443	50119
14	1527	49374
15	1605	48563
16	1689	48006
17	1784	47775
18	1868	47309
19	1947	46734
20	2045	46648
21	2131	46304
22	2224	46139
23	2320	46028
24	2404	45690
25	2504	45655
26	2574	45095
27	2661	44869
28	2764	44897
29	2863	44866
30	2935	44418
31	3028	44286
32	3119	44141
33	3193	43763
34	3290	43711
35	3373	43479
36	3453	43219
37	3550	43166
38	3643	43071
39	3726	42851
40	3808	42635
41	3895	42482
42	3988	42386
43	4087	42360
44	4182	42293
45	4274	42184
46	4347	41900
47	4434	41762
48	4516	41574
49	4612	41510
50	4698	41362
51	4775	41146
52	4860	40990
53	4944	40833
54	5038	40769
55	5133	40697
56	5236	40700
57	5325	40580
58	5408	40428
59	5486	40237
60	5560	40017
61	5657	39969
62	5746	39862
63	5824	39677
64	5896	39459
65	5982	39337
66	6074	39258
67	6159	39133
68	6254	39070
69	6326	38863
70	6413	38752
71	6498	38627
72	6580	38493
73	6659	38338
74	6739	38188
75	6833	38124
76	6923	38036
77	7015	37953
78	7095	37813
79	7198	37790
80	7292	37722
81	7416	37806
82	7531	37837
83	7610	37690
84	7684	37519
85	7768	37397
86	7861	37321
87	7939	37172
88	8029	37081
89	8117	36977
90	8191	36818
91	8285	36745
92	8372	36640
93	8436	36439
94	8526	36348
95	8621	36280
96	8706	36172
97	8799	36097
98	8870	35930
99	8960	35841
100	9036	35699
101	9128	35620
102	9216	35522
103	9287	35363
104	9378	35281
105	9469	35196
106	9558	35107
107	9647	35015
108	9718	34860
109	9803	34758
110	9887	34649
111	9974	34553
112	10062	34460
113	10140	34335
114	10206	34170
115	10282	34039
116	10368	33942
117	10448	33825
118	10524	33694
119	10594	33550
120	10678	33447
121	10766	33358
122	10875	33333
123	10949	33200
124	11029	33087
125	11114	32990
126	11193	32874
127	11288	32806
128	11363	32681
129	11461	32620
130	11552	32539
131	11629	32420
132	11702	32292
133	11782	32182
134	11870	32095
135	11945	31970
136	12015	31836
137	12094	31726
138	12174	31617
139	12264	31536
140	12355	31459
141	12445	31376
142	12525	31269
143	12613	31182
144	12680	31045
145	12766	30953
146	12847	30850
147	12920	30730
148	13009	30646
149	13088	30539
150	13159	30414
151	13252	30341
152	13329	30230
153	13406	30120
154	13477	29998
155	13556	29894
156	13625	29767
157	13715	29686
158	13804	29606
159	13872	29479
160	13946	29365
161	14040	29293
162	14117	29188
163	14201	29095
164	14290	29014
165	14377	28928
166	14462	28837
167	14545	28744
168	14637	28669
169	14728	28590
170	14827	28528
171	14918	28449
172	15014	28379
173	15093	28279
174	15158	28151
175	15249	28073
176	15332	27979
177	15403	27864
178	15483	27766
179	15576	27691
180	15657	27595
181	15737	27497
182	15823	27409
183	15900	27307
184	15990	27226
185	16068	27125
186	16135	27008
187	16200	26886
188	16271	26774
189	16365	26701
190	16464	26637
191	16540	26534
192	16623	26441
193	16703	26347
194	16785	26253
195	16856	26144
196	16961	26088
197	17041	25992
198	17140	25926
199	17218	25827
200	17288	25718
201	17375	25633
202	17458	25543
203	17544	25456
204	17612	25344
205	17685	25240
206	17765	25145
207	17833	25035
208	17918	24949
209	17997	24853
210	18076	24759
211	18149	24655
212	18235	24571
213	18314	24476
214	18389	24376
215	18464	24277
